time,sv,snr,sv_num,constellation,sat_count,mean_snr,std_snr,label
2026-06-02 06:23:01,R22,32.0,22,R,13,31.557692307692307,2.227091353635027,2
2026-06-02 06:23:01,S23,32.75,23,S,13,31.557692307692307,2.227091353635027,2
2026-06-02 06:23:01,S27,30.75,27,S,13,31.557692307692307,2.227091353635027,2
2026-06-02 06:23:01,S28,31.25,28,S,13,31.557692307692307,2.227091353635027,2
2026-06-02 06:23:01,S29,31.5,29,S,13,31.557692307692307,2.227091353635027,2
2026-06-02 06:23:02,G05,35.25,5,G,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,G15,31.5,15,G,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,G18,32.0,18,G,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,G29,28.75,29,G,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,J02,28.0,2,J,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,R01,33.25,1,R,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,R07,34.0,7,R,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,R13,28.75,13,R,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,R22,32.0,22,R,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,S23,33.5,23,S,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,S27,31.25,27,S,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,S28,31.25,28,S,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,S29,31.5,29,S,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:03,G05,35.0,5,G,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,G15,30.75,15,G,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,G18,31.5,18,G,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,G29,28.5,29,G,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,J02,28.0,2,J,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,R01,31.5,1,R,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,R07,33.75,7,R,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,R13,28.0,13,R,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,R22,32.0,22,R,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,S23,33.0,23,S,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,S27,31.25,27,S,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,S28,31.25,28,S,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,S29,31.25,29,S,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:04,G05,34.25,5,G,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,G15,30.5,15,G,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,G18,31.5,18,G,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,G29,29.25,29,G,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,J02,28.0,2,J,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,R01,30.25,1,R,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,R07,33.5,7,R,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,R13,27.75,13,R,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,R22,32.75,22,R,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,S23,33.0,23,S,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,S27,30.75,27,S,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,S28,31.25,28,S,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,S29,31.25,29,S,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:05,G05,34.25,5,G,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,G15,30.25,15,G,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,G18,30.75,18,G,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,G29,29.25,29,G,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,J02,28.0,2,J,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,R01,30.25,1,R,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,R07,33.5,7,R,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,R13,27.75,13,R,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,R22,32.25,22,R,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,S23,32.75,23,S,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,S27,30.75,27,S,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,S28,31.0,28,S,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,S29,31.25,29,S,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:06,G05,34.5,5,G,13,30.51923076923077,2.2207861278477545,2
2026-06-02 06:23:06,G15,30.0,15,G,13,30.51923076923077,2.2207861278477545,2
2026-06-02 06:23:06,G18,30.75,18,G,13,30.51923076923077,2.2207861278477545,2
2026-06-02 06:23:06,G29,28.25,29,G,13,30.51923076923077,2.2207861278477545,2
2026-06-02 06:23:06,J02,28.0,2,J,13,30.51923076923077,2.2207861278477545,2
2026-06-02 06:23:06,R01,27.5,1,R,13,30.51923076923077,2.2207861278477545,2
2026-06-02 06:23:06,R07,33.0,7,R,13,30.51923076923077,2.2207861278477545,2
2026-06-02 06:23:06,R13,27.75,13,R,13,30.51923076923077,2.2207861278477545,2
2026-06-02 06:23:06,R22,32.25,22,R,13,30.51923076923077,2.2207861278477545,2
2026-06-02 06:23:06,S23,32.75,23,S,13,30.51923076923077,2.2207861278477545,2
2026-06-02 06:23:06,S27,30.5,27,S,13,30.51923076923077,2.2207861278477545,2
2026-06-02 06:23:06,S28,30.25,28,S,13,30.51923076923077,2.2207861278477545,2
2026-06-02 06:23:06,S29,31.25,29,S,13,30.51923076923077,2.2207861278477545,2
2026-06-02 06:23:07,G05,34.75,5,G,13,30.634615384615383,2.4571650852985547,2
2026-06-02 06:23:07,G15,30.0,15,G,13,30.634615384615383,2.4571650852985547,2
2026-06-02 06:23:07,G18,30.75,18,G,13,30.634615384615383,2.4571650852985547,2
2026-06-02 06:23:07,G29,27.75,29,G,13,30.634615384615383,2.4571650852985547,2
2026-06-02 06:23:07,J02,27.25,2,J,13,30.634615384615383,2.4571650852985547,2
2026-06-02 06:23:07,R01,27.5,1,R,13,30.634615384615383,2.4571650852985547,2
2026-06-02 06:23:07,R07,33.5,7,R,13,30.634615384615383,2.4571650852985547,2
2026-06-02 06:23:07,R13,28.25,13,R,13,30.634615384615383,2.4571650852985547,2
2026-06-02 06:23:07,R22,33.0,22,R,13,30.634615384615383,2.4571650852985547,2
2026-06-02 06:23:07,S23,33.0,23,S,13,30.634615384615383,2.4571650852985547,2
2026-06-02 06:23:07,S27,30.5,27,S,13,30.634615384615383,2.4571650852985547,2
2026-06-02 06:23:07,S28,30.75,28,S,13,30.634615384615383,2.4571650852985547,2
2026-06-02 06:23:07,S29,31.25,29,S,13,30.634615384615383,2.4571650852985547,2
2026-06-02 06:23:08,G05,35.0,5,G,13,30.576923076923077,2.7260025208333425,2
2026-06-02 06:23:08,G15,30.25,15,G,13,30.576923076923077,2.7260025208333425,2
2026-06-02 06:23:08,G18,31.25,18,G,13,30.576923076923077,2.7260025208333425,2
2026-06-02 06:23:08,G29,27.75,29,G,13,30.576923076923077,2.7260025208333425,2
2026-06-02 06:23:08,J02,27.25,2,J,13,30.576923076923077,2.7260025208333425,2
2026-06-02 06:23:08,R01,26.0,1,R,13,30.576923076923077,2.7260025208333425,2
2026-06-02 06:23:08,R07,32.75,7,R,13,30.576923076923077,2.7260025208333425,2
2026-06-02 06:23:08,R13,27.75,13,R,13,30.576923076923077,2.7260025208333425,2
2026-06-02 06:23:08,R22,33.25,22,R,13,30.576923076923077,2.7260025208333425,2
2026-06-02 06:23:08,S23,33.5,23,S,13,30.576923076923077,2.7260025208333425,2
2026-06-02 06:23:08,S27,30.5,27,S,13,30.576923076923077,2.7260025208333425,2
2026-06-02 06:23:08,S28,31.0,28,S,13,30.576923076923077,2.7260025208333425,2
2026-06-02 06:23:08,S29,31.25,29,S,13,30.576923076923077,2.7260025208333425,2
2026-06-02 06:23:09,G05,35.0,5,G,13,30.75,2.3892118644719083,2
2026-06-02 06:23:09,G15,30.5,15,G,13,30.75,2.3892118644719083,2
2026-06-02 06:23:09,G18,31.25,18,G,13,30.75,2.3892118644719083,2
2026-06-02 06:23:09,G29,28.5,29,G,13,30.75,2.3892118644719083,2
2026-06-02 06:23:09,J02,27.75,2,J,13,30.75,2.3892118644719083,2
2026-06-02 06:23:09,R01,27.25,1,R,13,30.75,2.3892118644719083,2
2026-06-02 06:23:09,R07,32.75,7,R,13,30.75,2.3892118644719083,2
2026-06-02 06:23:09,R13,27.75,13,R,13,30.75,2.3892118644719083,2
2026-06-02 06:23:09,R22,33.0,22,R,13,30.75,2.3892118644719083,2
2026-06-02 06:23:09,S23,33.0,23,S,13,30.75,2.3892118644719083,2
2026-06-02 06:23:09,S27,30.5,27,S,13,30.75,2.3892118644719083,2
2026-06-02 06:23:09,S28,31.0,28,S,13,30.75,2.3892118644719083,2
2026-06-02 06:23:09,S29,31.5,29,S,13,30.75,2.3892118644719083,2
2026-06-02 06:23:10,G05,35.0,5,G,13,30.807692307692307,2.3209953103720897,2
2026-06-02 06:23:10,G15,30.75,15,G,13,30.807692307692307,2.3209953103720897,2
2026-06-02 06:23:10,G18,31.25,18,G,13,30.807692307692307,2.3209953103720897,2
2026-06-02 06:23:10,G29,28.5,29,G,13,30.807692307692307,2.3209953103720897,2
2026-06-02 06:23:10,J02,28.0,2,J,13,30.807692307692307,2.3209953103720897,2
2026-06-02 06:23:10,R01,27.25,1,R,13,30.807692307692307,2.3209953103720897,2
2026-06-02 06:23:10,R07,32.75,7,R,13,30.807692307692307,2.3209953103720897,2
2026-06-02 06:23:10,R13,28.0,13,R,13,30.807692307692307,2.3209953103720897,2
2026-06-02 06:23:10,R22,32.75,22,R,13,30.807692307692307,2.3209953103720897,2
2026-06-02 06:23:10,S23,33.0,23,S,13,30.807692307692307,2.3209953103720897,2
2026-06-02 06:23:10,S27,30.5,27,S,13,30.807692307692307,2.3209953103720897,2
2026-06-02 06:23:10,S28,31.25,28,S,13,30.807692307692307,2.3209953103720897,2
2026-06-02 06:23:10,S29,31.5,29,S,13,30.807692307692307,2.3209953103720897,2
2026-06-02 06:23:11,G05,35.25,5,G,13,30.78846153846154,2.565488407541685,2
2026-06-02 06:23:11,G15,30.75,15,G,13,30.78846153846154,2.565488407541685,2
2026-06-02 06:23:11,G18,31.75,18,G,13,30.78846153846154,2.565488407541685,2
2026-06-02 06:23:11,G29,28.75,29,G,13,30.78846153846154,2.565488407541685,2
2026-06-02 06:23:11,J02,27.75,2,J,13,30.78846153846154,2.565488407541685,2
2026-06-02 06:23:11,R01,26.25,1,R,13,30.78846153846154,2.565488407541685,2
2026-06-02 06:23:11,R07,32.5,7,R,13,30.78846153846154,2.565488407541685,2
2026-06-02 06:23:11,R13,28.0,13,R,13,30.78846153846154,2.565488407541685,2
2026-06-02 06:23:11,R22,33.5,22,R,13,30.78846153846154,2.565488407541685,2
2026-06-02 06:23:11,S23,33.0,23,S,13,30.78846153846154,2.565488407541685,2
2026-06-02 06:23:11,S27,30.25,27,S,13,30.78846153846154,2.565488407541685,2
2026-06-02 06:23:11,S28,30.75,28,S,13,30.78846153846154,2.565488407541685,2
2026-06-02 06:23:11,S29,31.75,29,S,13,30.78846153846154,2.565488407541685,2
2026-06-02 06:23:12,G05,35.75,5,G,12,31.1875,2.2363855782367796,2
2026-06-02 06:23:12,G15,30.5,15,G,12,31.1875,2.2363855782367796,2
2026-06-02 06:23:12,G18,31.25,18,G,12,31.1875,2.2363855782367796,2
2026-06-02 06:23:12,G29,28.75,29,G,12,31.1875,2.2363855782367796,2
2026-06-02 06:23:12,J02,28.5,2,J,12,31.1875,2.2363855782367796,2
2026-06-02 06:23:12,R07,32.0,7,R,12,31.1875,2.2363855782367796,2
2026-06-02 06:23:12,R13,27.75,13,R,12,31.1875,2.2363855782367796,2
2026-06-02 06:23:12,R22,33.25,22,R,12,31.1875,2.2363855782367796,2
2026-06-02 06:23:12,S23,33.0,23,S,12,31.1875,2.2363855782367796,2
2026-06-02 06:23:12,S27,31.0,27,S,12,31.1875,2.2363855782367796,2
2026-06-02 06:23:12,S28,30.75,28,S,12,31.1875,2.2363855782367796,2
2026-06-02 06:23:12,S29,31.75,29,S,12,31.1875,2.2363855782367796,2
2026-06-02 06:23:13,G05,35.25,5,G,12,31.270833333333332,2.2924241172464868,2
2026-06-02 06:23:13,G15,30.75,15,G,12,31.270833333333332,2.2924241172464868,2
2026-06-02 06:23:13,G18,31.0,18,G,12,31.270833333333332,2.2924241172464868,2
2026-06-02 06:23:13,G29,28.5,29,G,12,31.270833333333332,2.2924241172464868,2
2026-06-02 06:23:13,J02,28.5,2,J,12,31.270833333333332,2.2924241172464868,2
2026-06-02 06:23:13,R07,32.75,7,R,12,31.270833333333332,2.2924241172464868,2
2026-06-02 06:23:13,R13,27.75,13,R,12,31.270833333333332,2.2924241172464868,2
2026-06-02 06:23:13,R22,34.0,22,R,12,31.270833333333332,2.2924241172464868,2
2026-06-02 06:23:13,S23,33.25,23,S,12,31.270833333333332,2.2924241172464868,2
2026-06-02 06:23:13,S27,30.75,27,S,12,31.270833333333332,2.2924241172464868,2
2026-06-02 06:23:13,S28,31.25,28,S,12,31.270833333333332,2.2924241172464868,2
2026-06-02 06:23:13,S29,31.5,29,S,12,31.270833333333332,2.2924241172464868,2
2026-06-02 06:23:14,G05,36.0,5,G,11,31.25,2.5248762345905194,2
2026-06-02 06:23:14,G15,30.5,15,G,11,31.25,2.5248762345905194,2
2026-06-02 06:23:14,G18,30.75,18,G,11,31.25,2.5248762345905194,2
2026-06-02 06:23:14,G29,28.75,29,G,11,31.25,2.5248762345905194,2
2026-06-02 06:23:14,J02,28.5,2,J,11,31.25,2.5248762345905194,2
2026-06-02 06:23:14,R07,33.5,7,R,11,31.25,2.5248762345905194,2
2026-06-02 06:23:14,R13,27.5,13,R,11,31.25,2.5248762345905194,2
2026-06-02 06:23:14,R22,33.5,22,R,11,31.25,2.5248762345905194,2
2026-06-02 06:23:14,S23,32.75,23,S,11,31.25,2.5248762345905194,2
2026-06-02 06:23:14,S28,31.0,28,S,11,31.25,2.5248762345905194,2
2026-06-02 06:23:14,S29,31.0,29,S,11,31.25,2.5248762345905194,2
2026-06-02 06:23:15,G05,36.25,5,G,11,31.613636363636363,2.362106148026683,2
2026-06-02 06:23:15,G15,30.0,15,G,11,31.613636363636363,2.362106148026683,2
2026-06-02 06:23:15,G18,31.5,18,G,11,31.613636363636363,2.362106148026683,2
2026-06-02 06:23:15,G29,29.25,29,G,11,31.613636363636363,2.362106148026683,2
2026-06-02 06:23:15,R07,32.75,7,R,11,31.613636363636363,2.362106148026683,2
2026-06-02 06:23:15,R13,27.5,13,R,11,31.613636363636363,2.362106148026683,2
2026-06-02 06:23:15,R22,33.5,22,R,11,31.613636363636363,2.362106148026683,2
2026-06-02 06:23:15,S23,33.5,23,S,11,31.613636363636363,2.362106148026683,2
