epoch_30s,label,mean_snr,std_snr,sat_count
2026-05-21 09:01:30,0,42.8125,5.211778046155125,28
2026-05-21 09:02:00,0,42.65,5.25882254322395,28
2026-05-21 09:02:30,0,42.629464285714285,5.28933228919011,28
2026-05-21 09:03:00,0,42.79702380952381,5.231929290381478,28
2026-05-21 09:03:30,0,42.928869047619045,5.307337716967809,28
2026-05-21 09:04:00,0,43.050914634146345,5.266790907565086,28
2026-05-21 09:04:30,0,43.16203703703704,5.371336983238133,27
2026-05-21 09:05:00,0,43.11388888888889,5.387824626202993,27
2026-05-21 09:05:30,0,43.00925925925926,5.566937934566201,27
2026-05-21 09:06:00,0,43.05902348578492,5.633312793586766,27
2026-05-21 09:06:30,0,42.93595297029703,5.75142060638845,27
2026-05-21 09:07:00,0,42.678395061728395,5.7731606870407965,27
2026-05-21 09:07:30,0,42.96768060836502,5.427086589706693,27
2026-05-21 09:08:00,0,43.24487179487179,5.020126947233585,26
2026-05-21 09:08:30,0,43.28012820512821,4.935712122435605,26
2026-05-21 09:09:00,0,43.37179487179487,4.856004777272444,26
2026-05-21 09:09:30,0,43.39775641025641,4.920668282483196,26
2026-05-21 09:10:00,0,43.47660256410256,5.026120538983714,26
2026-05-21 09:10:30,0,43.54198717948718,5.051555438575429,26
2026-05-21 09:11:00,0,43.61570512820513,5.039238856907836,26
2026-05-21 09:11:30,0,43.666666666666664,4.944049383315672,26
2026-05-21 09:12:00,0,43.63333333333333,4.941377564800312,26
2026-05-21 09:12:30,0,43.627425614489006,4.98221559649568,26
2026-05-21 09:13:00,0,43.45320512820513,5.058901074960658,26
2026-05-21 09:13:30,0,43.64807692307692,5.03615262551709,26
2026-05-21 09:14:00,0,43.48814102564103,4.981313322720289,26
2026-05-21 09:14:30,0,43.52211538461538,5.03440422920365,26
2026-05-21 09:15:00,0,43.4375,5.048038247440801,26
2026-05-21 09:15:30,0,43.50160256410256,5.018187140608705,26
2026-05-21 09:16:00,0,43.32260101010101,5.347967753472909,27
2026-05-21 09:16:30,0,42.93378712871287,5.865379239235703,27
